A band	SL-0476
Smooth endoplasmic reticulum	SL-0248
Smooth endoplasmic reticulum lumen	SL-0249
Smooth endoplasmic reticulum membrane	SL-0250
spindle	SL-0251
spindle pole	SL-0448
spindle pole body	SL-0252
spore coat	SL-0366
Spore core	SL-0253
Spore core membrane	SL-0363
spore cortex	SL-0364
spore outer membrane	SL-0365
Spore polar tube	SL-0436
Spore wall	SL-0254
stereocilium	SL-0302
stereocilium membrane	SL-0303
surface film	SL-0255
Symbiosome	SL-0256
Symplast	SL-0257
synapse	SL-0258
synaptic vesicle	SL-0259
synaptic vesicle lumen	SL-0348
synaptic vesicle membrane	SL-0260
synaptosome	SL-0261
Target cell	SL-0487
target cell cytoplasm	SL-0486
Target cell membrane	SL-0451
Target membrane	SL-0452
Tegument	SL-0263
Tegument membrane	SL-0264
telomere	SL-0276
Thylakoid	SL-0450
tight junction	SL-0265
trans-Golgi network	SL-0266
trans-Golgi network membrane	SL-0267
Trichocyst	SL-0268
uropodium	SL-0141
Vacuole	SL-0272
Vacuole lumen	SL-0270
Vacuole membrane	SL-0271
Virion	SL-0274
Virion membrane	SL-0275
Virion tegument	SL-0273
Z line	SL-0314
