Chronic myeloid leukemia cell	TS-0147
Chronic myeloid leukaemia cell	TS-0147
CML cell	TS-0147
Myeloid leukemia	TS-0147
Ciliary ganglion	TS-1135
Ciliary ganglia	TS-1135
Circumesophageal ganglion	TS-0148
Circumesophageal ganglia	TS-0148
Circumoesophageal ganglion	TS-0148
Circumoesophageal ganglia	TS-0148
Circumvallate papilla	TS-0149
Circumvallate papillae	TS-0149
Vallate papilla	TS-0149
Papilla vallata	TS-0149
CNS	TS-0150
Central nervous system	TS-0150
Coagulating gland	TS-1213
Coagulating gland secretion	TS-1214
CGS	TS-1214
Cochlea	TS-0151
Cochlear organ	TS-0151
Cochlear duct	TS-0152
Cochlear scala media	TS-0152
Scala media	TS-0152
Membranous cochlea	TS-0152
Cochlear nucleus	TS-1187
Cochlear nuclei	TS-1187
Anterior ventral cochlear nucleus	TS-1187
AVCN	TS-1187
Posterior ventral cochlear nucleus	TS-1187
PVCN	TS-1187
Dorsal cochlear nucleus	TS-1187
DCN	TS-1187
Coeliac ganglion	TS-0153
Coeliac ganglia	TS-0153
Celiac ganglion	TS-0153
Celiac ganglia	TS-0153
Coelomic fluid	TS-0154
Coelomocyte	TS-0155
Coleoptile	TS-0156
Coleoptile tissue	TS-0156
Collar	TS-0157
Leaf collar	TS-0157
Colon	TS-0158
Colon adenocarcinoma	TS-0159
Colorectal adenocarcinoma	TS-0159
Colonic adenocarcinoma	TS-0159
Colon cancer	TS-0160
Colorectal cancer	TS-0160
Colon malignant tumor	TS-0160
Colorectal malignant tumor	TS-0160
Colon carcinoma	TS-0161
Colorectal carcinoma	TS-0161
Colon endothelium	TS-0162
Colon endothelial cell	TS-0162
Colorectal endothelium	TS-0162
Colorectal endothelial cell	TS-0162
Colonic endothelium	TS-0162
Colonic endothelial cell	TS-0162
Colon epithelium	TS-0163
Colon epithelial cell	TS-0163
Colorectal epithelium	TS-0163
Colorectal epithelial cell	TS-0163
Colonic epithelium	TS-0163
Colonic epithelial cell	TS-0163
Colon glandular cell	TS-1274
Colon glandular cells	TS-1274
Colon mucosa	TS-0164
Colorectal mucosa	TS-0164
Colonic mucosa	TS-0164
Colon smooth muscle	TS-0165
Colorectal smooth muscle	TS-0165
Colonic smooth muscle	TS-0165
Colon tumor	TS-0166
Colorectal tumor	TS-0166
Colonic tumor	TS-0166
Colon tumour	TS-0166
Colorectal tumour	TS-0166
Colonic tumour	TS-0166
Colorectal	TS-1298
Colorectum	TS-1298
Colostrum	TS-0167
Colostrum corpuscles	TS-0167
First milk	TS-0167
Conceptus membrane	TS-0168
Cone	TS-0169
Conidium	TS-0170
Conidia	TS-0170
Corm	TS-1328
Cornea	TS-0171
Corneal endothelium	TS-0172
Corneal endothelial cell	TS-0172
Cornea endothelium	TS-0172
Cornea endothelial cell	TS-0172
Corneal epithelium	TS-0173
Cornea epithelium	TS-0173
Corneal epithelial cell	TS-0173
Cornea epithelial cell	TS-0173
Corneal fibroblast	TS-1159
Corneal stroma	TS-1138
Cornea stroma	TS-1138
Corolla	TS-0174
Flower corolla	TS-0174
Coronary arterial endothelium	TS-0175
Coronary arterial endothelial cell	TS-0175
Coronary artery	TS-0176
Corpora allata	TS-0177
Corpora cardiaca	TS-0178
CC	TS-0178
Corpora quadrigemina	TS-0179
Colliculi	TS-0179
Corpus callosum	TS-0180
Corpus luteum	TS-0181
Corpora lutea	TS-0181
Yellow body of ovary	TS-0181
Corpus spongiosum	TS-0182
Corpora spongiosa	TS-0182
Corpus cavernosum urethrae	TS-0182
Corpus striatum	TS-0183
Brain striatum	TS-0183
Striatum	TS-0183
Cotyledon	TS-0184
Craniofacial	TS-0185
Cropsac	TS-0186
Crystalline style	TS-1208
Culm	TS-0187
Stem	TS-0187
Cultured root	TS-0188
Cultured root cell	TS-0188
Cuticle	TS-0189
Cuticular epidermis	TS-0189
Cytotoxic T-cell	TS-0190
Cytotoxic T lymphocyte	TS-0190
